id,reference,color,country,region,appellation,vintage,grapes,alcohol_percent,bottle_size_l,sweetness,tannin,acidity,rating,price_eur,producer,stock_quantity
182,WINE-00182,rosé,USA,Willamette Valley,AOC,2005,"Sangiovese, Sauvignon Blanc",12.8,0.375,dry,medium,medium,95,33.92,"Allen, Hunt and Lawson",195
183,WINE-00183,rosé,USA,Sonoma,DOC,2016,"Cabernet Sauvignon, Grenache",11.1,0.375,off-dry,high,low,80,28.38,"Spears, Smith and Parker",557
184,WINE-00184,sparkling,Italy,Umbria,IGP,2006,Pinot Noir,12.6,1.5,sweet,medium,high,96,29.72,"Wall, Smith and Bass",487
185,WINE-00185,white,Georgia,Kakheti,IGP,2014,Grenache,15.0,1.5,semi-sweet,high,low,90,75.34,Gomez Group,217
186,WINE-00186,red,Italy,Tuscany,AVA,2016,"Sauvignon Blanc, Cabernet Sauvignon",14.2,0.375,semi-sweet,low,medium,80,85.19,Bishop-Fernandez,794
187,WINE-00187,white,Italy,Veneto,AOC,2024,Sangiovese,12.6,1.5,semi-sweet,low,low,87,16.03,Walker-Smith,295
188,WINE-00188,rosé,Italy,Sicily,DOCG,2024,"Riesling, Pinot Noir",12.2,0.375,semi-sweet,high,high,89,108.25,Moore-Lucero,25
189,WINE-00189,sparkling,USA,Napa,DOCG,2004,Pinot Noir,11.5,1.5,off-dry,high,high,79,52.13,"Rose, Brooks and Glenn",623
190,WINE-00190,white,Italy,Sicily,DOCG,2018,Sauvignon Blanc,11.2,0.75,off-dry,high,low,96,62.76,"Sanchez, Ortega and Young",533
191,WINE-00191,rosé,Spain,Priorat,AOC,2023,Grenache,11.2,1.5,dry,low,high,81,10.23,"Smith, Mitchell and Arellano",326
192,WINE-00192,red,Italy,Veneto,IGP,2003,"Tempranillo, Syrah",13.4,0.75,sweet,medium,medium,94,90.2,Harris Ltd,643
193,WINE-00193,red,USA,Willamette Valley,DOC,2010,"Sangiovese, Pinot Noir",14.4,0.375,semi-sweet,low,high,83,116.51,Henry and Sons,652
194,WINE-00194,rosé,Italy,Umbria,DOC,2006,Pinot Noir,12.6,0.375,off-dry,high,medium,82,21.57,Tucker-Harris,723
195,WINE-00195,sparkling,USA,Willamette Valley,DOC,2011,Cabernet Sauvignon,14.1,0.375,semi-sweet,high,medium,82,106.85,Tucker-Rhodes,145
196,WINE-00196,rosé,Georgia,Kakheti,AOC,2014,"Pinot Noir, Tempranillo",15.4,0.75,off-dry,low,high,87,7.41,Haynes PLC,498
197,WINE-00197,red,Italy,Tuscany,DOCG,2017,"Syrah, Merlot",12.4,0.375,off-dry,medium,medium,92,70.89,"Oconnell, Rice and Hansen",296
198,WINE-00198,red,Italy,Umbria,AOC,2019,Riesling,13.2,1.5,semi-sweet,high,high,86,18.4,Lewis Ltd,500
199,WINE-00199,white,USA,Sonoma,AVA,2024,"Cabernet Sauvignon, Chardonnay",11.4,0.75,semi-sweet,high,low,80,21.81,Dean Group,28
200,WINE-00200,white,France,Alsace,DOCG,2022,"Pinot Noir, Sangiovese",15.0,1.5,off-dry,low,high,87,90.62,Perkins and Sons,334
201,WINE-00201,rosé,USA,Napa,DOCG,1999,Chardonnay,13.5,0.75,semi-sweet,low,low,79,18.22,Hall Group,643
202,WINE-00202,white,USA,Napa,IGP,2004,"Riesling, Pinot Noir",13.7,1.5,dry,low,high,85,24.65,"Vasquez, Greene and Woods",453
203,WINE-00203,red,USA,Napa,IGP,2018,"Syrah, Tempranillo",12.7,0.375,sweet,low,medium,80,81.43,Holmes Ltd,526
204,WINE-00204,red,USA,Sonoma,IGP,2023,Pinot Noir,14.3,0.75,semi-sweet,low,medium,96,82.98,Bradshaw Group,581
205,WINE-00205,red,Italy,Sicily,AVA,2008,"Sangiovese, Riesling",15.4,1.5,off-dry,medium,high,97,15.28,Donaldson-Smith,61
206,WINE-00206,sparkling,Spain,Rias Baixas,DOCG,2022,"Pinot Noir, Grenache",12.5,1.5,dry,low,low,99,90.33,Allen-Wells,707
207,WINE-00207,rosé,France,Rhone,AVA,2002,"Chardonnay, Sangiovese",13.5,0.75,semi-sweet,low,low,83,116.41,Pierce-Johnson,207
208,WINE-00208,white,Georgia,Kakheti,DOCG,2011,Syrah,14.0,1.5,sweet,low,high,92,31.83,Holt-Curry,586
209,WINE-00209,red,France,Jura,IGP,1999,Riesling,14.9,1.5,dry,high,high,94,17.64,Bell-Cole,702
210,WINE-00210,white,USA,Willamette Valley,DOC,2006,"Merlot, Pinot Noir",14.5,0.375,sweet,low,low,89,10.76,Ortiz Group,718
211,WINE-00211,sparkling,Georgia,Kakheti,DOCG,2008,Pinot Noir,15.1,0.375,off-dry,high,low,89,25.15,Dudley-Luna,763
212,WINE-00212,rosé,Spain,Rioja,AOC,2011,Chardonnay,14.3,0.75,sweet,low,high,89,17.36,Livingston PLC,562
213,WINE-00213,red,Spain,Rioja,DOC,2017,"Chardonnay, Syrah",13.0,1.5,sweet,low,low,93,18.59,"Garcia, Odonnell and Bernard",264
214,WINE-00214,rosé,Italy,Piedmont,IGP,2023,Tempranillo,12.1,1.5,semi-sweet,medium,low,78,45.03,"Cummings, Gibson and Tucker",154
215,WINE-00215,sparkling,USA,Willamette Valley,AOC,2000,Merlot,13.8,1.5,sweet,medium,low,92,50.85,Moore-Hernandez,625
216,WINE-00216,rosé,Georgia,Kakheti,DOCG,2023,Grenache,11.6,1.5,dry,low,low,89,88.91,Valenzuela Group,339
217,WINE-00217,sparkling,Georgia,Kakheti,DOCG,2013,"Cabernet Sauvignon, Chardonnay",13.2,0.375,dry,low,medium,97,11.17,Vega Ltd,149
218,WINE-00218,sparkling,Italy,Veneto,DOCG,2003,Sangiovese,12.6,1.5,off-dry,high,low,95,108.9,"Cole, Durham and Ryan",97
219,WINE-00219,red,Italy,Sicily,DOCG,2016,"Syrah, Pinot Noir",11.3,0.75,semi-sweet,high,high,85,45.95,"Riley, Castro and Jacobson",563
220,WINE-00220,red,USA,Sonoma,DOCG,2006,"Riesling, Sangiovese",15.0,0.375,semi-sweet,low,low,84,6.82,Deleon Inc,687
221,WINE-00221,sparkling,USA,Sonoma,IGP,1999,"Pinot Noir, Merlot",12.4,0.75,semi-sweet,high,high,95,81.11,Vazquez and Sons,348
222,WINE-00222,red,France,Loire,AVA,2013,Grenache,12.6,0.75,semi-sweet,high,medium,80,101.6,"Alexander, Miller and Allen",326
223,WINE-00223,rosé,Italy,Veneto,AVA,2015,Pinot Noir,12.2,1.5,dry,low,low,90,57.06,Mejia LLC,617
224,WINE-00224,white,Spain,Rioja,DOC,2014,Pinot Noir,11.2,0.375,semi-sweet,high,low,78,27.45,Williams and Sons,549
225,WINE-00225,red,France,Provence,DOC,2015,"Chardonnay, Cabernet Sauvignon",13.2,1.5,semi-sweet,low,low,91,96.77,Becker and Sons,89
226,WINE-00226,sparkling,Georgia,Kakheti,AVA,2022,"Grenache, Riesling",11.1,0.75,semi-sweet,low,medium,97,86.96,Coleman-Sloan,337
227,WINE-00227,red,Italy,Tuscany,DOC,2011,Pinot Noir,14.5,0.375,semi-sweet,medium,medium,89,67.41,"Scott, Dalton and Ruiz",602
228,WINE-00228,rosé,Georgia,Kakheti,DOC,2019,"Riesling, Cabernet Sauvignon",13.9,1.5,sweet,high,medium,89,65.66,"Graves, Strong and Lopez",280
229,WINE-00229,red,Italy,Veneto,AVA,1999,"Merlot, Chardonnay",15.5,0.375,sweet,low,low,97,21.29,Watts-Vaughn,61
230,WINE-00230,white,Georgia,Kakheti,DOCG,2022,"Pinot Noir, Tempranillo",14.3,0.375,dry,medium,high,85,56.34,"Suarez, Robinson and Williams",510
231,WINE-00231,sparkling,Italy,Veneto,IGP,2020,Chardonnay,15.1,0.375,dry,low,high,90,82.86,"Cole, Stewart and Chambers",359
232,WINE-00232,sparkling,France,Loire,IGP,2003,"Syrah, Cabernet Sauvignon",11.1,1.5,sweet,low,low,89,29.17,Parks Inc,777
233,WINE-00233,rosé,USA,Willamette Valley,DOCG,2010,"Syrah, Pinot Noir",14.9,0.75,off-dry,medium,medium,80,43.79,Schultz-Spence,497
234,WINE-00234,rosé,Italy,Piedmont,AVA,2023,"Syrah, Cabernet Sauvignon",14.5,1.5,semi-sweet,low,medium,83,55.57,"Lopez, Russell and Martinez",143
235,WINE-00235,red,Spain,Rioja,DOC,2024,Pinot Noir,12.4,1.5,semi-sweet,low,low,92,83.84,Bryant Inc,92
236,WINE-00236,sparkling,USA,Sonoma,DOCG,2002,Tempranillo,11.9,1.5,dry,low,low,94,73.85,Mcgee-Knight,588
237,WINE-00237,red,USA,Willamette Valley,AOC,1997,Chardonnay,15.0,0.375,sweet,low,high,91,6.29,Hill Inc,229
238,WINE-00238,red,Georgia,Kakheti,AVA,2006,"Riesling, Merlot",15.4,0.375,dry,medium,high,83,7.73,"Baker, Cabrera and Ray",275
239,WINE-00239,white,France,Bordeaux,AVA,2020,Sauvignon Blanc,13.5,0.75,semi-sweet,low,medium,79,80.46,Cook-Russell,557
240,WINE-00240,sparkling,Spain,Rias Baixas,DOCG,2012,"Sauvignon Blanc, Chardonnay",12.9,0.375,sweet,medium,medium,82,108.38,Norris and Sons,650
241,WINE-00241,rosé,France,Loire,AVA,2016,"Syrah, Tempranillo",11.5,1.5,dry,high,low,90,85.14,"King, Marquez and Stone",332
242,WINE-00242,rosé,USA,Willamette Valley,IGP,2018,Riesling,13.9,0.75,semi-sweet,high,high,90,32.73,Harris-Burgess,644
243,WINE-00243,red,USA,Sonoma,IGP,1997,"Tempranillo, Chardonnay",13.8,1.5,off-dry,high,medium,86,109.6,Parsons Inc,484
244,WINE-00244,white,Spain,Priorat,DOC,2006,Sangiovese,13.4,1.5,off-dry,medium,low,99,25.65,Manning PLC,677
245,WINE-00245,red,USA,Napa,DOCG,1998,"Chardonnay, Sauvignon Blanc",12.8,1.5,semi-sweet,medium,low,89,46.66,"Nelson, Wright and Simpson",535
246,WINE-00246,sparkling,Georgia,Kakheti,AOC,2009,"Sauvignon Blanc, Grenache",14.1,0.75,sweet,high,low,94,23.09,Caldwell-Young,696
247,WINE-00247,sparkling,Italy,Veneto,AVA,2006,Tempranillo,13.4,0.75,semi-sweet,low,high,84,6.09,Lara LLC,265
248,WINE-00248,white,France,Languedoc,DOCG,2002,"Chardonnay, Grenache",12.2,0.75,dry,high,high,93,103.91,"Mcguire, Johnson and Mcintyre",206
249,WINE-00249,rosé,Italy,Sicily,AVA,2007,"Cabernet Sauvignon, Riesling",12.7,1.5,semi-sweet,medium,medium,98,75.25,"Gomez, Travis and Morgan",262
250,WINE-00250,sparkling,Spain,Ribera del Duero,AVA,2001,Tempranillo,15.4,1.5,semi-sweet,low,high,84,43.56,Callahan-Miller,72
251,WINE-00251,sparkling,France,Beaujolais,IGP,1998,"Riesling, Cabernet Sauvignon",13.7,0.75,sweet,high,medium,91,119.42,Anderson Ltd,180
252,WINE-00252,sparkling,France,Beaujolais,IGP,2019,Sangiovese,14.7,1.5,off-dry,high,low,90,67.75,Hernandez LLC,696
253,WINE-00253,sparkling,Spain,Rias Baixas,IGP,2002,Merlot,14.8,1.5,dry,low,medium,80,102.69,Hood-Chase,220
254,WINE-00254,red,Georgia,Kakheti,DOC,2012,"Riesling, Cabernet Sauvignon",14.1,0.75,off-dry,medium,low,98,22.59,Short-Gonzalez,342
255,WINE-00255,red,Italy,Umbria,DOC,1997,"Sangiovese, Grenache",12.4,0.75,semi-sweet,high,medium,94,106.98,"Williams, Brown and West",697
256,WINE-00256,rosé,France,Champagne,DOC,2003,"Sauvignon Blanc, Sangiovese",12.4,0.375,dry,low,high,98,48.61,"Jordan, Chambers and Smith",475
257,WINE-00257,white,USA,Willamette Valley,DOCG,2024,"Syrah, Riesling",14.2,1.5,dry,high,medium,78,66.77,"Ball, Snyder and Henry",418
258,WINE-00258,red,Georgia,Kakheti,DOCG,2004,Riesling,11.9,0.375,sweet,medium,high,92,29.24,Mayo LLC,208
259,WINE-00259,sparkling,France,Rhone,AOC,2022,Pinot Noir,15.0,1.5,sweet,low,low,95,90.04,Montgomery Inc,168
260,WINE-00260,rosé,USA,Napa,DOC,2019,Pinot Noir,15.1,0.375,dry,medium,low,84,95.4,Bond PLC,51
261,WINE-00261,rosé,USA,Napa,IGP,2024,"Pinot Noir, Cabernet Sauvignon",14.1,0.375,off-dry,medium,medium,85,105.72,Rasmussen Inc,326
262,WINE-00262,rosé,Georgia,Kakheti,DOCG,1999,"Sangiovese, Syrah",15.3,1.5,off-dry,medium,low,88,49.32,Case-King,656
263,WINE-00263,red,Spain,Ribera del Duero,DOC,2008,"Pinot Noir, Tempranillo",12.5,0.75,dry,low,medium,81,80.95,"Santiago, Price and Tucker",215
264,WINE-00264,rosé,Georgia,Kakheti,IGP,2023,"Cabernet Sauvignon, Riesling",15.2,0.375,off-dry,medium,medium,87,74.15,Martinez-Brown,553
265,WINE-00265,white,France,Loire,IGP,1996,"Syrah, Grenache",13.6,0.375,dry,medium,low,82,80.84,Martin-Patrick,51
266,WINE-00266,rosé,Italy,Veneto,IGP,2018,"Syrah, Chardonnay",12.6,0.375,semi-sweet,low,high,95,57.87,"Frazier, Alvarado and Rivera",764
267,WINE-00267,white,Georgia,Kakheti,AVA,1996,"Riesling, Cabernet Sauvignon",11.2,1.5,dry,medium,high,82,53.35,Wilson-Smith,361
268,WINE-00268,white,France,Provence,DOCG,2005,Merlot,11.0,1.5,sweet,medium,low,86,16.72,King-Mckinney,244
269,WINE-00269,sparkling,France,Rhone,DOCG,2009,Chardonnay,12.1,1.5,dry,high,medium,89,114.23,Contreras Ltd,290
270,WINE-00270,white,USA,Willamette Valley,DOC,2011,Sangiovese,12.1,0.375,dry,low,low,93,96.25,Pruitt LLC,718
271,WINE-00271,white,Georgia,Kakheti,AOC,2021,Pinot Noir,12.2,0.375,sweet,medium,high,94,18.5,Rose-Keith,583
272,WINE-00272,white,France,Burgundy,DOC,2019,Tempranillo,14.5,1.5,dry,low,low,97,44.45,"Prince, Jones and Olsen",100
273,WINE-00273,white,France,Loire,DOCG,2013,"Merlot, Riesling",15.1,0.375,semi-sweet,medium,medium,79,16.04,Davenport-Hunter,250
274,WINE-00274,white,Italy,Umbria,DOC,2001,"Pinot Noir, Syrah",15.2,1.5,semi-sweet,high,low,78,96.24,"Cole, Fowler and Scott",491
275,WINE-00275,rosé,France,Beaujolais,AOC,2022,Syrah,13.8,0.75,sweet,low,high,89,72.44,Thompson-Fernandez,504
276,WINE-00276,rosé,USA,Napa,DOCG,2021,Riesling,14.5,1.5,off-dry,medium,medium,98,95.43,Brown-Smith,525
277,WINE-00277,red,Spain,Rioja,DOCG,2001,Syrah,13.6,1.5,off-dry,medium,high,99,107.41,Singleton Ltd,51
278,WINE-00278,sparkling,USA,Willamette Valley,DOCG,2002,"Sauvignon Blanc, Merlot",13.9,0.75,sweet,medium,low,87,61.75,Hughes-Robinson,16
279,WINE-00279,sparkling,France,Beaujolais,IGP,2005,"Riesling, Pinot Noir",13.5,0.375,semi-sweet,medium,medium,97,9.71,"Campos, Williams and Lewis",343
280,WINE-00280,white,France,Champagne,IGP,1998,"Sangiovese, Syrah",12.0,1.5,dry,medium,low,90,36.95,"Williams, Odonnell and West",154
281,WINE-00281,white,Spain,Ribera del Duero,DOCG,2005,"Grenache, Riesling",15.3,1.5,off-dry,low,medium,94,7.03,"Collins, Klein and Walker",179
282,WINE-00282,sparkling,France,Loire,AVA,2012,"Chardonnay, Merlot",14.3,1.5,sweet,low,medium,99,53.43,Jackson Group,526
283,WINE-00283,sparkling,Georgia,Kakheti,DOCG,2016,"Chardonnay, Grenache",14.2,1.5,sweet,high,high,79,109.42,Dudley Ltd,510
284,WINE-00284,red,USA,Sonoma,AOC,2007,Sangiovese,13.0,1.5,off-dry,high,high,92,10.0,"Lara, Gardner and Patterson",333
285,WINE-00285,red,USA,Napa,DOCG,2013,Syrah,15.1,1.5,dry,medium,low,96,79.13,Baker-Blair,287
286,WINE-00286,red,Italy,Veneto,IGP,2010,"Merlot, Sauvignon Blanc",15.3,1.5,semi-sweet,high,medium,88,24.45,Mcpherson-Day,588
287,WINE-00287,rosé,USA,Napa,DOC,2020,Sangiovese,14.9,0.375,semi-sweet,high,high,83,83.68,Pratt Group,54
288,WINE-00288,sparkling,Georgia,Kakheti,DOCG,2004,Grenache,15.0,0.75,off-dry,high,medium,92,51.95,Rich Group,697
289,WINE-00289,sparkling,Spain,Rias Baixas,DOCG,1998,"Riesling, Grenache",11.9,1.5,sweet,high,medium,98,24.22,Cross-Horton,322
290,WINE-00290,rosé,France,Rhone,AVA,2019,"Sangiovese, Sauvignon Blanc",11.3,0.75,semi-sweet,high,medium,94,98.45,"Escobar, Parker and Davis",645
291,WINE-00291,sparkling,France,Champagne,AOC,2021,Sangiovese,14.1,0.75,semi-sweet,high,medium,86,117.78,Frey Inc,71
292,WINE-00292,sparkling,Georgia,Kakheti,AOC,2018,"Pinot Noir, Tempranillo",13.9,1.5,dry,medium,medium,88,51.6,Hobbs-Byrd,511
293,WINE-00293,white,Spain,Rias Baixas,DOC,2001,"Grenache, Pinot Noir",12.5,0.375,sweet,low,high,78,103.12,"Sawyer, Shaw and Moore",683
294,WINE-00294,sparkling,Italy,Umbria,IGP,2018,Tempranillo,12.2,1.5,off-dry,low,low,99,102.86,Sexton PLC,244
295,WINE-00295,rosé,Georgia,Kakheti,AOC,2015,"Grenache, Pinot Noir",14.2,1.5,sweet,high,medium,80,93.95,Harrison Group,619
296,WINE-00296,white,Georgia,Kakheti,DOC,2016,"Merlot, Chardonnay",13.6,0.375,semi-sweet,low,high,94,14.23,Nelson PLC,332
297,WINE-00297,sparkling,Italy,Tuscany,DOC,1996,"Grenache, Sangiovese",15.4,1.5,dry,low,high,92,18.6,"Hess, Gonzalez and Young",229
298,WINE-00298,rosé,Spain,Rias Baixas,AVA,2012,Syrah,14.6,0.375,semi-sweet,high,high,78,31.42,Watts LLC,177
299,WINE-00299,rosé,France,Jura,IGP,2018,"Merlot, Grenache",11.4,0.375,sweet,medium,high,96,52.63,Moore and Sons,682
300,WINE-00300,rosé,France,Provence,DOCG,2013,Riesling,11.6,0.75,sweet,low,medium,97,27.65,Phillips-Smith,412
301,WINE-00301,white,Italy,Veneto,AOC,2019,Riesling,11.9,1.5,off-dry,medium,low,95,92.13,Perez-Munoz,303
302,WINE-00302,red,France,Languedoc,AOC,1995,"Syrah, Sauvignon Blanc",14.8,1.5,semi-sweet,high,medium,98,24.66,"Ellison, Jacobs and Good",647
303,WINE-00303,rosé,Spain,Rias Baixas,AOC,2017,Pinot Noir,12.6,0.375,sweet,low,medium,81,103.83,"Farmer, Ochoa and Price",372
304,WINE-00304,red,USA,Sonoma,DOCG,2022,"Riesling, Pinot Noir",11.5,1.5,semi-sweet,high,medium,84,46.34,Johnson-Perez,672
305,WINE-00305,rosé,France,Loire,AVA,2020,"Sauvignon Blanc, Pinot Noir",15.0,0.75,off-dry,low,low,81,30.4,Bennett Ltd,599
306,WINE-00306,red,Georgia,Kakheti,AOC,2019,Riesling,11.2,1.5,dry,medium,medium,97,69.79,Carter Group,472
307,WINE-00307,white,USA,Willamette Valley,AOC,2023,Syrah,12.6,0.375,dry,high,low,84,56.16,"James, Bryant and Burke",585
308,WINE-00308,red,Georgia,Kakheti,AVA,2000,Riesling,12.8,1.5,off-dry,high,high,93,84.89,Lee Group,483
309,WINE-00309,red,Georgia,Kakheti,IGP,2020,"Merlot, Syrah",15.4,0.375,dry,medium,high,85,78.26,Pierce and Sons,759
310,WINE-00310,red,France,Loire,DOC,2009,Cabernet Sauvignon,11.2,0.375,off-dry,high,low,95,78.8,Goodwin PLC,423
311,WINE-00311,white,Spain,Rioja,IGP,2019,Riesling,15.3,1.5,dry,low,low,94,24.56,Williams-Jones,524
312,WINE-00312,sparkling,Spain,Rioja,AOC,2012,Cabernet Sauvignon,13.9,0.375,dry,high,low,99,68.18,"Brooks, Jackson and Dunn",297
313,WINE-00313,red,USA,Sonoma,AVA,2000,Cabernet Sauvignon,14.7,0.75,off-dry,low,high,98,89.85,"Briggs, Reyes and Pace",687
314,WINE-00314,red,USA,Napa,AVA,2018,"Merlot, Tempranillo",12.1,0.375,dry,medium,medium,87,41.25,Williams PLC,302
315,WINE-00315,rosé,Italy,Sicily,DOC,1997,Merlot,11.2,1.5,off-dry,high,medium,92,118.15,"Jackson, Bennett and Martinez",625
316,WINE-00316,red,Georgia,Kakheti,AOC,2016,Cabernet Sauvignon,14.1,0.75,dry,low,high,87,56.36,Wood-Gonzalez,723
317,WINE-00317,rosé,Italy,Veneto,DOCG,2007,Chardonnay,11.4,0.75,off-dry,high,high,93,92.91,Pierce PLC,771
318,WINE-00318,white,Spain,Rias Baixas,AOC,2005,"Sangiovese, Cabernet Sauvignon",12.0,0.75,semi-sweet,low,low,88,96.58,Moore LLC,544
319,WINE-00319,red,Italy,Tuscany,DOCG,1997,"Chardonnay, Tempranillo",13.4,0.75,off-dry,low,high,79,80.09,"Everett, Olson and Guzman",551
320,WINE-00320,red,Italy,Sicily,DOC,2019,Grenache,15.1,0.375,semi-sweet,medium,high,81,118.83,Beard-Jacobs,180
321,WINE-00321,white,Georgia,Kakheti,DOCG,2003,"Syrah, Chardonnay",15.3,0.375,off-dry,high,medium,97,115.93,Ruiz-Chaney,658
322,WINE-00322,red,Georgia,Kakheti,AVA,2004,Sauvignon Blanc,11.4,1.5,dry,high,low,80,47.21,Guerra-Willis,145
323,WINE-00323,sparkling,Georgia,Kakheti,AVA,2023,"Riesling, Pinot Noir",11.5,0.75,sweet,medium,high,83,56.72,"Callahan, Stevenson and Steele",745
324,WINE-00324,rosé,France,Beaujolais,DOCG,2007,Cabernet Sauvignon,14.7,0.375,dry,low,medium,99,44.25,Meyers and Sons,639
325,WINE-00325,red,France,Loire,AOC,2004,Tempranillo,14.0,0.375,dry,low,medium,81,101.4,Murray Inc,58
326,WINE-00326,red,USA,Sonoma,AVA,1997,Cabernet Sauvignon,12.3,0.75,off-dry,medium,medium,95,88.38,"Torres, Gonzalez and Ellison",141
327,WINE-00327,rosé,Spain,Rias Baixas,DOCG,2016,Sangiovese,11.5,0.375,off-dry,medium,medium,78,31.53,Rivas-Torres,198
328,WINE-00328,rosé,Italy,Sicily,DOC,1996,"Grenache, Cabernet Sauvignon",11.4,0.75,semi-sweet,low,medium,78,59.88,"Rojas, Wilkinson and Cole",499
329,WINE-00329,sparkling,France,Burgundy,AVA,1998,"Merlot, Sauvignon Blanc",13.2,0.375,off-dry,medium,medium,79,19.49,"Brown, Hamilton and Shields",69
330,WINE-00330,sparkling,Spain,Rias Baixas,IGP,2012,Chardonnay,11.3,1.5,off-dry,medium,high,84,70.17,Ponce-Bailey,385
331,WINE-00331,sparkling,France,Bordeaux,AVA,2011,Syrah,11.8,0.75,off-dry,low,low,93,36.24,"Trevino, Salinas and Torres",471
332,WINE-00332,sparkling,Italy,Tuscany,DOCG,2003,Syrah,14.0,0.75,dry,low,high,93,60.9,"Mitchell, Miller and Harrison",184
333,WINE-00333,red,Georgia,Kakheti,IGP,2015,Sangiovese,12.1,0.75,off-dry,high,medium,82,50.16,"Cline, Thompson and Wilkinson",329
334,WINE-00334,white,France,Provence,DOC,2009,Tempranillo,15.1,0.375,sweet,low,low,87,56.05,"Smith, Hale and Gonzalez",143
335,WINE-00335,rosé,Italy,Veneto,AVA,2007,Merlot,11.1,0.375,dry,medium,medium,85,13.5,"Ross, Ramsey and Robinson",382
336,WINE-00336,white,Georgia,Kakheti,AVA,2021,Syrah,13.1,0.75,sweet,medium,low,88,9.62,"Bradley, Vincent and Perez",181
337,WINE-00337,red,Spain,Priorat,AVA,2021,"Pinot Noir, Syrah",14.8,0.375,semi-sweet,high,medium,93,70.05,"Gutierrez, Allen and Smith",728
338,WINE-00338,rosé,USA,Napa,DOC,2008,Grenache,11.7,0.375,off-dry,high,medium,79,25.12,Patterson-Fox,432
339,WINE-00339,sparkling,Italy,Tuscany,IGP,2022,"Tempranillo, Syrah",11.7,1.5,semi-sweet,high,medium,81,11.88,Gould-Miller,106
340,WINE-00340,red,France,Champagne,DOCG,2008,Pinot Noir,11.3,0.75,semi-sweet,high,high,94,72.47,Nelson Group,456
341,WINE-00341,rosé,Italy,Sicily,AVA,1997,Sauvignon Blanc,13.7,0.75,sweet,low,high,86,79.36,Huff-Rodriguez,421
342,WINE-00342,red,Spain,Rias Baixas,AOC,2020,"Syrah, Chardonnay",15.1,0.75,sweet,medium,high,98,107.43,Smith-Vazquez,476
343,WINE-00343,sparkling,Spain,Ribera del Duero,AOC,2008,Sangiovese,12.8,0.375,off-dry,medium,high,89,49.33,"Miles, Huff and Smith",506
344,WINE-00344,white,Spain,Ribera del Duero,DOC,2011,"Merlot, Cabernet Sauvignon",11.6,0.75,sweet,high,low,93,72.39,"Villa, Rivera and Smith",340
345,WINE-00345,rosé,Georgia,Kakheti,IGP,2017,"Pinot Noir, Riesling",11.1,1.5,off-dry,medium,medium,81,115.72,"Martinez, Thompson and Patrick",785
346,WINE-00346,white,Spain,Ribera del Duero,AVA,2019,Chardonnay,14.8,1.5,semi-sweet,low,low,97,57.86,"Jackson, Nguyen and Howard",681
347,WINE-00347,white,Georgia,Kakheti,AOC,1995,"Sangiovese, Grenache",11.3,0.375,off-dry,low,high,85,6.45,"Moore, Schwartz and Espinoza",235
348,WINE-00348,white,Italy,Veneto,AOC,1997,Merlot,15.2,0.375,off-dry,medium,medium,80,65.55,Stewart PLC,327
349,WINE-00349,sparkling,Spain,Priorat,DOCG,2003,"Cabernet Sauvignon, Merlot",11.7,0.375,dry,high,low,86,21.02,"Yates, Green and Vincent",746
350,WINE-00350,sparkling,Spain,Rias Baixas,DOC,2024,Tempranillo,15.5,0.375,off-dry,high,medium,90,39.65,Brown-Vang,17
351,WINE-00351,red,Italy,Veneto,IGP,2013,Merlot,11.7,1.5,sweet,medium,low,97,16.64,Cobb-Gallagher,679
352,WINE-00352,sparkling,USA,Willamette Valley,DOC,2024,Syrah,13.6,0.375,sweet,low,medium,94,54.28,Young and Sons,545
353,WINE-00353,red,Spain,Rioja,DOC,2011,Syrah,12.3,1.5,sweet,high,low,83,29.33,Cunningham LLC,318
354,WINE-00354,white,Spain,Ribera del Duero,AOC,2019,Riesling,12.5,1.5,semi-sweet,medium,medium,94,88.22,Rios PLC,56
355,WINE-00355,red,Georgia,Kakheti,DOCG,2011,Chardonnay,12.1,0.375,off-dry,medium,low,84,42.55,Beasley-Wilson,518
356,WINE-00356,sparkling,Georgia,Kakheti,AVA,2016,"Merlot, Tempranillo",11.3,0.75,sweet,medium,low,86,97.6,"Hansen, Johnson and Ayala",525
357,WINE-00357,rosé,Italy,Sicily,IGP,2009,"Chardonnay, Sangiovese",14.5,1.5,semi-sweet,high,low,81,93.68,Leonard-Johnson,89
358,WINE-00358,red,Spain,Ribera del Duero,AVA,2009,Merlot,14.1,0.375,semi-sweet,high,low,99,93.87,Guerra-Lopez,447
359,WINE-00359,white,Georgia,Kakheti,IGP,1996,Cabernet Sauvignon,12.3,1.5,off-dry,high,low,80,42.02,"Clarke, Meyer and Riley",544
360,WINE-00360,white,Georgia,Kakheti,DOC,2019,Sauvignon Blanc,14.6,1.5,semi-sweet,medium,low,85,58.22,"Robinson, Mason and Christensen",565
361,WINE-00361,rosé,France,Burgundy,IGP,2014,"Syrah, Pinot Noir",14.6,0.75,sweet,high,low,82,91.39,"Fernandez, Christian and Hutchinson",502
362,WINE-00362,rosé,France,Jura,DOC,2011,Grenache,13.1,1.5,off-dry,high,medium,88,25.7,Baker Group,762
363,WINE-00363,sparkling,Spain,Ribera del Duero,AOC,2013,Syrah,12.5,0.75,dry,low,medium,85,102.73,"Sandoval, Chen and Mejia",272
